config_id,run,seed,cpu_time,initial_memory_mb,final_memory_mb,memory_increase_mb,best_iteration_memory_mb,best_iteration_number,objective_value,final_cost,penalty,num_vehicles,total_distance,converged_at,load_balance_std,load_balance_range,load_balance_cv,vehicle_loads,population_size,generations,mutation_rate,tournament_k
1,1,42,4.5698559284210205,277.6640625,277.6640625,0.0,0.02776640625,98,25333361.73,25333361.73,0,11,1223.8339,100,32.80596599642628,109.0,0.3394784816187103,"[120.0, 132.0, 108.0, 156.0, 108.0, 108.0, 47.0, 68.0, 93.0, 75.0, 48.0]",50,100,0.05,3
1,2,123,4.461512088775635,277.6640625,277.6640625,0.0,0.02776640625,97,25934175.089999996,25934175.089999996,0,11,1252.8587,100,24.86791553670102,84.0,0.25733496792446964,"[118.0, 131.0, 105.0, 132.0, 108.0, 96.0, 72.0, 72.0, 96.0, 48.0, 85.0]",50,100,0.05,3
1,3,7890,4.4626781940460205,277.6640625,277.6640625,0.0,0.02776640625,100,25842157.380000003,25842157.380000003,0,11,1248.4134,100,24.137005641179147,84.0,0.24977146006864592,"[108.0, 125.0, 108.0, 144.0, 96.0, 104.0, 60.0, 72.0, 96.0, 66.0, 84.0]",50,100,0.05,3
2,1,42,6.806502342224121,277.6640625,277.6640625,0.0,0.02776640625,100,26157542.580000002,26157542.580000002,0,11,1263.6494,100,27.20051044732509,82.0,0.28147282683026903,"[116.0, 129.0, 108.0, 120.0, 108.0, 108.0, 47.0, 53.0, 84.0, 70.0, 120.0]",50,100,0.05,5
2,2,123,5.784491539001465,277.6640625,277.6640625,0.0,0.02776640625,79,24418498.32,24418498.32,0,11,1179.6376,100,22.03003209370306,84.0,0.22796834715967418,"[121.0, 132.0, 93.0, 95.0, 106.0, 108.0, 48.0, 72.0, 96.0, 84.0, 108.0]",50,100,0.05,5
2,3,7890,6.175522089004517,277.6640625,277.6640625,0.0,0.02776640625,99,24567670.799999997,24567670.799999997,0,11,1186.844,100,26.837127360406473,84.0,0.2777125126664828,"[129.0, 132.0, 113.0, 119.0, 108.0, 108.0, 60.0, 72.0, 94.0, 80.0, 48.0]",50,100,0.05,5
3,1,42,8.350950956344604,277.6640625,277.6640625,0.0,0.02776640625,95,25421421.6,25421421.6,0,11,1228.088,100,25.38887633043877,97.0,0.2627259074645592,"[120.0, 132.0, 96.0, 117.0, 108.0, 108.0, 35.0, 72.0, 96.0, 82.0, 97.0]",50,100,0.05,7
3,2,123,8.160845756530762,277.6640625,277.6640625,0.0,0.02776640625,92,25249069.26,25249069.26,0,11,1219.7618,100,31.09303554663218,109.0,0.32175295485696515,"[125.0, 132.0, 108.0, 132.0, 106.0, 89.0, 23.0, 60.0, 96.0, 84.0, 108.0]",50,100,0.05,7
3,3,7890,9.36083722114563,277.6640625,277.6640625,0.0,0.02776640625,100,26284628.160000004,26284628.160000004,0,11,1269.7888,100,26.000953574376066,96.0,0.2690597265457542,"[96.0, 134.0, 96.0, 144.0, 107.0, 108.0, 84.0, 68.0, 96.0, 82.0, 48.0]",50,100,0.05,7
4,1,42,4.499974489212036,277.6640625,277.6640625,0.0,0.02776640625,99,23275709.28,23275709.28,0,11,1124.4304,100,30.46689030667025,107.0,0.31527355914710514,"[106.0, 132.0, 108.0, 156.0, 107.0, 108.0, 60.0, 69.0, 96.0, 72.0, 49.0]",50,100,0.1,3
4,2,123,4.482539176940918,277.6640625,277.6640625,0.0,0.02776640625,88,23715246.870000005,23715246.870000005,0,11,1145.6641,100,28.085171523494964,103.0,0.2906273628959968,"[96.0, 132.0, 108.0, 150.0, 108.0, 96.0, 47.0, 74.0, 96.0, 96.0, 60.0]",50,100,0.1,3
4,3,7890,4.324519872665405,277.6640625,277.6640625,0.0,0.02776640625,98,24326548.920000006,24326548.920000006,0,11,1175.1956,100,31.683872373733628,131.0,0.3278669765861429,"[101.0, 132.0, 108.0, 155.0, 105.0, 96.0, 24.0, 72.0, 96.0, 94.0, 80.0]",50,100,0.1,3
5,1,42,5.8723461627960205,277.6640625,277.6640625,0.0,0.02776640625,100,23647849.740000002,23647849.740000002,0,11,1142.4082,100,32.15098677199851,108.0,0.33270070977608995,"[120.0, 132.0, 108.0, 156.0, 108.0, 107.0, 53.0, 72.0, 90.0, 69.0, 48.0]",50,100,0.1,5
5,2,123,6.942324161529541,277.6640625,277.6640625,0.0,0.02776640625,94,23683637.97,23683637.97,0,11,1144.1371,100,28.961644627060323,96.0,0.29969716923580764,"[60.0, 133.0, 108.0, 156.0, 107.0, 108.0, 72.0, 70.0, 93.0, 96.0, 60.0]",50,100,0.1,5
5,3,7890,6.461008787155151,277.6640625,277.6640625,0.0,0.02776640625,97,24030443.7,24030443.7,0,11,1160.891,100,15.546251973167783,60.0,0.16087372690954432,"[72.0, 132.0, 96.0, 95.0, 101.0, 108.0, 96.0, 72.0, 93.0, 96.0, 102.0]",50,100,0.1,5
6,1,42,8.369301319122314,277.6640625,277.6640625,0.0,0.02776640625,100,24641499.419999994,24641499.419999994,0,11,1190.4106,100,25.050032579447976,96.0,0.2592195281034127,"[120.0, 125.0, 95.0, 144.0, 108.0, 84.0, 84.0, 48.0, 92.0, 79.0, 84.0]",50,100,0.1,7
6,2,123,8.755290746688843,277.6640625,277.6640625,0.0,0.02776640625,97,26558642.340000004,26558642.340000004,0,12,1283.0262,100,26.205782864771574,84.0,0.2958319796587572,"[96.0, 132.0, 84.0, 120.0, 108.0, 92.0, 58.0, 60.0, 72.0, 48.0, 120.0, 73.0]",50,100,0.1,7
6,3,7890,7.670175790786743,277.6640625,277.6640625,0.0,0.02776640625,100,24064164.0,24064164.0,0,11,1162.52,100,29.03375066514746,96.0,0.3004433276732098,"[102.0, 132.0, 108.0, 156.0, 108.0, 109.0, 72.0, 72.0, 84.0, 60.0, 60.0]",50,100,0.1,7
7,1,42,4.5260255336761475,277.6640625,277.6640625,0.0,0.02776640625,100,22396607.19,22396607.19,0,10,1081.9617,100,24.008540147205952,76.0,0.22585644541115665,"[132.0, 132.0, 108.0, 148.0, 104.0, 108.0, 72.0, 72.0, 96.0, 91.0]",50,100,0.15,3
7,2,123,4.567337989807129,277.6640625,277.6640625,0.0,0.02776640625,97,25730275.95,25730275.95,0,11,1243.0085,100,27.240587122469652,107.0,0.28188754312997755,"[96.0, 132.0, 96.0, 155.0, 105.0, 101.0, 48.0, 72.0, 94.0, 84.0, 80.0]",50,100,0.15,3
7,3,7890,3.9275026321411133,277.6640625,277.6640625,0.0,0.02776640625,82,25693767.36,25693767.36,0,11,1241.2448,100,18.72418332858109,64.0,0.193759187784,"[72.0, 121.0, 96.0, 132.0, 108.0, 108.0, 84.0, 68.0, 96.0, 94.0, 84.0]",50,100,0.15,3
8,1,42,6.3073179721832275,277.6640625,277.6640625,0.0,0.02776640625,93,23596486.830000006,23596486.830000006,0,11,1139.9269,100,32.86687397606711,112.0,0.34010876174669635,"[128.0, 131.0, 108.0, 153.0, 108.0, 96.0, 82.0, 72.0, 96.0, 41.0, 48.0]",50,100,0.15,5
8,2,123,6.805602073669434,277.6640625,277.6640625,0.0,0.02776640625,98,22646447.910000004,22646447.910000004,0,11,1094.0313,100,27.60524563877053,108.0,0.28566105552819926,"[72.0, 125.0, 96.0, 156.0, 108.0, 108.0, 48.0, 69.0, 96.0, 89.0, 96.0]",50,100,0.15,5
8,3,7890,6.442379713058472,277.6640625,277.6640625,0.0,0.02776640625,96,21888012.33,21888012.33,0,11,1057.3919,100,31.637930995656944,120.0,0.32739157192119134,"[89.0, 132.0, 114.0, 156.0, 107.0, 108.0, 36.0, 72.0, 93.0, 96.0, 60.0]",50,100,0.15,5
9,1,42,8.180688381195068,277.6640625,277.6640625,0.0,0.02776640625,94,23025825.090000004,23025825.090000004,0,11,1112.3587,100,29.552027240945534,108.0,0.30580649073414945,"[105.0, 132.0, 108.0, 156.0, 108.0, 92.0, 48.0, 72.0, 96.0, 87.0, 59.0]",50,100,0.15,7
9,2,123,9.23429560661316,277.6640625,277.6640625,0.0,0.02776640625,100,23945902.830000002,23945902.830000002,0,11,1156.8069,100,21.621843867519832,72.0,0.22374438621139994,"[105.0, 128.0, 108.0, 132.0, 108.0, 84.0, 60.0, 75.0, 96.0, 72.0, 95.0]",50,100,0.15,7
9,3,7890,8.42472791671753,277.6640625,277.6640625,0.0,0.02776640625,100,23607619.29,23607619.29,0,11,1140.4647,100,19.37792899748074,63.0,0.2005241947058214,"[96.0, 132.0, 101.0, 119.0, 108.0, 108.0, 69.0, 72.0, 96.0, 92.0, 70.0]",50,100,0.15,7
10,1,42,8.659474611282349,277.6640625,277.6640625,0.0,0.02776640625,199,23034794.4,23034794.4,0,11,1112.792,200,35.61734186210861,132.0,0.36857080007826404,"[120.0, 132.0, 108.0, 156.0, 105.0, 108.0, 47.0, 73.0, 96.0, 94.0, 24.0]",50,200,0.05,3
10,2,123,8.670369625091553,277.6640625,277.6640625,0.0,0.02776640625,191,25037705.7,25037705.7,0,11,1209.551,200,26.523652316968057,96.0,0.2744686505048435,"[94.0, 131.0, 105.0, 156.0, 108.0, 84.0, 84.0, 72.0, 96.0, 60.0, 73.0]",50,200,0.05,3
10,3,7890,9.147939205169678,277.6640625,277.6640625,0.0,0.02776640625,196,24780328.110000003,24780328.110000003,0,11,1197.1173000000001,200,24.761673931052574,84.0,0.25623557219339443,"[101.0, 132.0, 108.0, 144.0, 96.0, 104.0, 60.0, 72.0, 96.0, 66.0, 84.0]",50,200,0.05,3
11,1,42,12.49406623840332,277.6640625,277.6640625,0.0,0.02776640625,199,24275566.889999997,24275566.889999997,0,11,1172.7327,200,24.095539863682536,76.0,0.24934236923848344,"[116.0, 129.0, 108.0, 120.0, 108.0, 108.0, 59.0, 53.0, 96.0, 70.0, 96.0]",50,200,0.05,5
11,2,123,11.46365475654602,277.6640625,277.6640625,0.0,0.02776640625,195,23360703.480000004,23360703.480000004,0,11,1128.5364,200,20.755164646519486,72.0,0.21477592766859296,"[121.0, 132.0, 93.0, 107.0, 106.0, 96.0, 60.0, 72.0, 96.0, 72.0, 108.0]",50,200,0.05,5
11,3,7890,13.211828231811523,277.6640625,277.6640625,0.0,0.02776640625,180,22937570.64,22937570.64,0,11,1108.0952,200,25.115271439985122,84.0,0.2598946244965535,"[129.0, 132.0, 108.0, 119.0, 108.0, 101.0, 72.0, 72.0, 94.0, 80.0, 48.0]",50,200,0.05,5
12,1,42,16.340150356292725,277.6640625,277.6640625,0.0,0.02776640625,199,23824818.180000003,23824818.180000003,0,11,1150.9574,200,24.410402876541006,85.0,0.2526005942069154,"[120.0, 132.0, 96.0, 129.0, 101.0, 108.0, 47.0, 72.0, 96.0, 82.0, 80.0]",50,200,0.05,7
