DepotID,LocationID,Longitude,Latitude,Capacity
1,1,-74.08124218159384,4.75021190869025,8
2,2,-74.10993358606953,4.5363832206427785,10
3,3,-74.03854814565923,4.792925960208614,0
4,4,-74.06706883098641,4.72167778077445,4
5,5,-74.13826337931849,4.607707046760958,28
6,6,-74.12400186370824,4.650463053612691,3
7,7,-74.09561875464892,4.621911772492814,0
8,8,-74.10975623736951,4.678960680833056,10
9,9,-74.09547235719887,4.735973062153282,43
10,10,-74.10991610076434,4.550640992537941,1
11,11,-74.10977422186991,4.664702960902753,16
12,12,-74.12408925943333,4.5791740634103135,18
