RouteID,VehicleID,StopSequence,NodeID,Demand_Served_On_Route,Cumulative_Dist_On_Route
Route_1,Vehicle_1,1,D1,72.0,0.0
Route_1,Vehicle_1,2,C4,12.0,26.65
Route_1,Vehicle_1,3,C47,12.0,29.54
Route_1,Vehicle_1,4,C7,12.0,37.27
Route_1,Vehicle_1,5,C49,12.0,45.07
Route_1,Vehicle_1,6,C71,12.0,47.81
Route_1,Vehicle_1,7,C77,12.0,75.22
Route_1,Vehicle_1,8,D1,0,110.33
Route_2,Vehicle_2,1,D1,131.0,0.0
Route_2,Vehicle_2,2,C42,12.0,27.6
Route_2,Vehicle_2,3,C33,12.0,29.75
Route_2,Vehicle_2,4,C8,12.0,45.48
Route_2,Vehicle_2,5,C88,12.0,49.63
Route_2,Vehicle_2,6,C66,12.0,78.27
Route_2,Vehicle_2,7,C5,12.0,90.57
Route_2,Vehicle_2,8,C31,11.0,93.47
Route_2,Vehicle_2,9,C6,12.0,99.28
Route_2,Vehicle_2,10,C45,12.0,126.3
Route_2,Vehicle_2,11,C18,12.0,127.34
Route_2,Vehicle_2,12,C15,12.0,133.18
Route_2,Vehicle_2,13,D1,0,160.87
Route_3,Vehicle_3,1,D1,105.0,0.0
Route_3,Vehicle_3,2,C17,12.0,22.61
Route_3,Vehicle_3,3,C36,12.0,32.35
Route_3,Vehicle_3,4,C51,12.0,36.11
Route_3,Vehicle_3,5,C22,12.0,40.53
Route_3,Vehicle_3,6,C56,12.0,44.76
Route_3,Vehicle_3,7,C30,12.0,48.84
Route_3,Vehicle_3,8,C57,9.0,53.54
Route_3,Vehicle_3,9,C50,12.0,59.93
Route_3,Vehicle_3,10,C40,12.0,65.14
Route_3,Vehicle_3,11,D1,0,82.95
Route_4,Vehicle_4,1,D1,149.0,0.0
Route_4,Vehicle_4,2,C55,12.0,20.63
Route_4,Vehicle_4,3,C64,12.0,28.16
Route_4,Vehicle_4,4,C46,12.0,34.72
Route_4,Vehicle_4,5,C76,12.0,39.29
Route_4,Vehicle_4,6,C60,12.0,44.81
Route_4,Vehicle_4,7,C68,12.0,52.98
Route_4,Vehicle_4,8,C79,12.0,54.71
Route_4,Vehicle_4,9,C27,12.0,58.37
Route_4,Vehicle_4,10,C80,5.0,60.34
Route_4,Vehicle_4,11,C83,12.0,63.59
Route_4,Vehicle_4,12,C34,12.0,71.17
Route_4,Vehicle_4,13,C20,12.0,83.41
Route_4,Vehicle_4,14,C69,12.0,86.79
Route_4,Vehicle_4,15,D1,0,106.48
Route_5,Vehicle_5,1,D1,108.0,0.0
Route_5,Vehicle_5,2,C10,12.0,19.47
Route_5,Vehicle_5,3,C14,12.0,20.44
Route_5,Vehicle_5,4,C72,12.0,23.54
Route_5,Vehicle_5,5,C12,12.0,26.31
Route_5,Vehicle_5,6,C84,12.0,32.86
Route_5,Vehicle_5,7,C73,12.0,37.64
Route_5,Vehicle_5,8,C89,12.0,38.88
Route_5,Vehicle_5,9,C23,12.0,43.14
Route_5,Vehicle_5,10,C35,12.0,48.53
Route_5,Vehicle_5,11,D1,0,74.16
Route_6,Vehicle_6,1,D1,108.0,0.0
Route_6,Vehicle_6,2,C29,12.0,13.15
Route_6,Vehicle_6,3,C74,12.0,21.37
Route_6,Vehicle_6,4,C9,12.0,27.14
Route_6,Vehicle_6,5,C38,12.0,36.82
Route_6,Vehicle_6,6,C85,12.0,41.37
Route_6,Vehicle_6,7,C37,12.0,49.03
Route_6,Vehicle_6,8,C16,12.0,56.37
Route_6,Vehicle_6,9,C26,12.0,65.13
Route_6,Vehicle_6,10,C75,12.0,69.38
Route_6,Vehicle_6,11,D1,0,83.97
Route_7,Vehicle_7,1,D1,84.0,0.0
Route_7,Vehicle_7,2,C62,12.0,15.49
Route_7,Vehicle_7,3,C3,12.0,25.73
Route_7,Vehicle_7,4,C48,12.0,27.41
Route_7,Vehicle_7,5,C59,12.0,31.83
Route_7,Vehicle_7,6,C90,12.0,41.42
Route_7,Vehicle_7,7,C78,12.0,47.18
Route_7,Vehicle_7,8,C1,12.0,55.75
Route_7,Vehicle_7,9,D1,0,70.01
Route_8,Vehicle_8,1,D1,72.0,0.0
Route_8,Vehicle_8,2,C58,12.0,23.7
Route_8,Vehicle_8,3,C2,12.0,32.52
Route_8,Vehicle_8,4,C63,12.0,39.73
Route_8,Vehicle_8,5,C81,12.0,41.77
Route_8,Vehicle_8,6,C82,12.0,43.97
Route_8,Vehicle_8,7,C61,12.0,57.47
Route_8,Vehicle_8,8,D1,0,73.52
Route_9,Vehicle_9,1,D1,94.0,0.0
Route_9,Vehicle_9,2,C21,12.0,13.3
Route_9,Vehicle_9,3,C44,12.0,18.96
Route_9,Vehicle_9,4,C32,12.0,23.23
Route_9,Vehicle_9,5,C11,12.0,24.76
Route_9,Vehicle_9,6,C87,10.0,30.84
Route_9,Vehicle_9,7,C39,12.0,41.37
Route_9,Vehicle_9,8,C24,12.0,45.39
Route_9,Vehicle_9,9,C43,12.0,48.15
Route_9,Vehicle_9,10,D1,0,71.74
Route_10,Vehicle_10,1,D1,96.0,0.0
Route_10,Vehicle_10,2,C54,12.0,31.36
Route_10,Vehicle_10,3,C52,12.0,35.71
Route_10,Vehicle_10,4,C86,12.0,40.39
Route_10,Vehicle_10,5,C53,12.0,45.0
Route_10,Vehicle_10,6,C25,12.0,46.64
Route_10,Vehicle_10,7,C70,12.0,52.14
Route_10,Vehicle_10,8,C41,12.0,71.97
Route_10,Vehicle_10,9,C67,12.0,78.7
Route_10,Vehicle_10,10,D1,0,100.24
Route_11,Vehicle_11,1,D1,44.0,0.0
Route_11,Vehicle_11,2,C13,8.0,22.41
Route_11,Vehicle_11,3,C19,12.0,26.75
Route_11,Vehicle_11,4,C65,12.0,30.6
Route_11,Vehicle_11,5,C28,12.0,40.6
Route_11,Vehicle_11,6,D1,0,66.07
