RouteID,VehicleID,StopSequence,NodeID,Demand_Served_On_Route,Cumulative_Dist_On_Route
Route_1,Vehicle_1,1,D1,119.0,0.0
Route_1,Vehicle_1,2,C1,13.0,27.14
Route_1,Vehicle_1,3,C11,17.0,38.03
Route_1,Vehicle_1,4,C9,20.0,42.87
Route_1,Vehicle_1,5,C8,20.0,50.03
Route_1,Vehicle_1,6,C5,20.0,51.57
Route_1,Vehicle_1,7,C6,17.0,59.39
Route_1,Vehicle_1,8,C18,12.0,61.7
Route_1,Vehicle_1,9,D1,0,83.83
Route_2,Vehicle_2,1,D1,138.0,0.0
Route_2,Vehicle_2,2,C3,12.0,13.98
Route_2,Vehicle_2,3,C17,25.0,29.33
Route_2,Vehicle_2,4,C24,11.0,34.33
Route_2,Vehicle_2,5,C16,10.0,38.61
Route_2,Vehicle_2,6,C10,15.0,43.1
Route_2,Vehicle_2,7,C15,17.0,50.39
Route_2,Vehicle_2,8,C4,15.0,51.11
Route_2,Vehicle_2,9,C22,18.0,55.59
Route_2,Vehicle_2,10,C2,15.0,66.33
Route_2,Vehicle_2,11,D1,0,84.55
Route_3,Vehicle_3,1,D1,120.0,0.0
Route_3,Vehicle_3,2,C13,21.0,21.61
Route_3,Vehicle_3,3,C7,17.0,35.02
Route_3,Vehicle_3,4,C19,11.0,39.27
Route_3,Vehicle_3,5,C21,14.0,47.04
Route_3,Vehicle_3,6,C12,12.0,57.75
Route_3,Vehicle_3,7,C20,15.0,60.91
Route_3,Vehicle_3,8,C23,15.0,66.3
Route_3,Vehicle_3,9,C14,15.0,67.34
Route_3,Vehicle_3,10,D1,0,78.45
