VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,D3,47,D3 - C31 - C5 - C77 - C6 - D3,4,11 - 12 - 12 - 12,20.53,24.63,424917
V4,D4,144,D4 - C7 - C12 - C72 - C41 - C82 - C81 - C63 - C47 - C2 - C4 - C66 - C58 - D4,12,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,42.64,51.17,882718
V10,D5,72,D5 - C45 - C18 - C48 - C17 - C3 - C16 - D5,6,12 - 12 - 12 - 12 - 12 - 12,17.42,20.91,360669
V5,D5,108,D5 - C19 - C64 - C33 - C42 - C65 - C76 - C46 - C60 - C51 - D5,9,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,29.05,34.86,601318
V14,D6,45,D6 - C30 - C85 - C57 - C38 - D6,4,12 - 12 - 9 - 12,16.27,19.52,336806
V7,D6,102,D6 - C26 - C32 - C11 - C1 - C75 - C87 - C13 - C55 - C28 - D6,9,12 - 12 - 12 - 12 - 12 - 10 - 8 - 12 - 12,31.04,37.24,642470
V12,D7,96,D7 - C15 - C24 - C84 - C35 - C14 - C10 - C90 - C39 - D7,8,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,26.34,31.61,545201
V8,D7,72,D7 - C34 - C23 - C89 - C73 - C59 - C56 - D7,6,12 - 12 - 12 - 12 - 12 - 12,19.45,23.34,402572
V11,D8,48,D8 - C29 - C67 - C74 - C20 - D8,4,12 - 12 - 12 - 12,28.72,34.46,594434
V6,D9,60,D9 - C61 - C49 - C71 - C21 - C9 - D9,5,12 - 12 - 12 - 12 - 12,19.41,23.3,401888
V3,D10,65,D10 - C53 - C83 - C80 - C52 - C86 - C25 - D10,6,12 - 12 - 5 - 12 - 12 - 12,20.24,24.29,418956
V13,D11,84,D11 - C44 - C62 - C78 - C40 - C69 - C50 - C43 - D11,7,12 - 12 - 12 - 12 - 12 - 12 - 12,27.65,33.18,572367
V2,D12,120,D12 - C37 - C27 - C54 - C68 - C70 - C88 - C8 - C36 - C22 - C79 - D12,10,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,32.14,38.57,665269
