VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V8,D2,48,D2 - C53 - C83 - C62 - C78 - D2,4,12 - 12 - 12 - 12,52.41,43.67,1084877
V1,D3,71,D3 - C31 - C5 - C77 - C6 - C67 - C40 - D3,6,11 - 12 - 12 - 12 - 12 - 12,49.22,41.01,1018751
V4,D4,72,D4 - C58 - C66 - C4 - C47 - C2 - C63 - D4,6,12 - 12 - 12 - 12 - 12 - 12,31.54,26.28,652785
V12,D5,36,D5 - C17 - C3 - C16 - D5,3,12 - 12 - 12,12.14,10.11,251217
V5,D5,108,D5 - C51 - C60 - C46 - C76 - C65 - C42 - C33 - C64 - C19 - D5,9,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,29.37,24.48,608013
V7,D6,96,D6 - C74 - C29 - C32 - C11 - C75 - C1 - C26 - C55 - D6,8,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,41.48,34.57,858694
V13,D7,84,D7 - C10 - C90 - C14 - C12 - C72 - C20 - C69 - D7,7,12 - 12 - 12 - 12 - 12 - 12 - 12,28.41,23.68,588149
V16,D7,21,D7 - C57 - C38 - D7,2,9 - 12,18.7,15.58,387094
V17,D7,24,D7 - C59 - C15 - D7,2,12 - 12,8.09,6.74,167535
V18,D7,24,D7 - C34 - C23 - D7,2,12 - 12,7.29,6.08,150973
V19,D7,24,D7 - C30 - C85 - D7,2,12 - 12,8.04,6.7,166385
V22,D7,24,D7 - C35 - C84 - D7,2,12 - 12,12.42,10.35,257142
V27,D7,12,D7 - C39 - D7,1,12,6.31,5.26,130658
V28,D7,24,D7 - C89 - C73 - D7,2,12 - 12,15.64,13.04,323823
V9,D7,94,D7 - C56 - C48 - C28 - C87 - C44 - C50 - C43 - C24 - D7,8,12 - 12 - 12 - 10 - 12 - 12 - 12 - 12,38.73,32.27,801641
V10,D8,24,D8 - C81 - C9 - D8,2,12 - 12,30.9,25.75,639613
V6,D9,36,D9 - C61 - C71 - C49 - D9,3,12 - 12 - 12,12.5,10.42,258779
V3,D10,41,D10 - C80 - C52 - C86 - C25 - D10,4,5 - 12 - 12 - 12,19.86,16.55,411139
V11,D11,48,D11 - C21 - C7 - C41 - C82 - D11,4,12 - 12 - 12 - 12,34.99,29.15,724202
V15,D12,36,D12 - C37 - C27 - C54 - D12,3,12 - 12 - 12,10.17,8.47,210490
V2,D12,116,D12 - C22 - C45 - C18 - C13 - C36 - C88 - C8 - C70 - C68 - C79 - D12,10,12 - 12 - 12 - 8 - 12 - 12 - 12 - 12 - 12 - 12,42.92,35.76,888357
