VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,D6,131.9211396722696,D6 - C26 - C32 - C11 - C1 - C75 - C87 - C42 - C76 - C65 - C13 - C28 - D6,11,12 - 12 - 12 - 12 - 12 - 10 - 12 - 12 - 12 - 8 - 12,46.98,0.0,972424
V3,D12,114.38031900663994,D12 - C80 - C52 - C25 - C53 - C83 - D12,5,5 - 12 - 12 - 12 - 12,19.21,0.0,397657
V4,D8,157.9011075721774,D8 - C38 - C44 - C62 - C17 - C46 - C51 - C89 - C23 - C24 - C40 - C78 - D8,11,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,67.24,0.0,1391945
V5,D7,108.73261473756116,D7 - C15 - C37 - C27 - C54 - C73 - C35 - C84 - D7,7,12 - 12 - 12 - 12 - 12 - 12 - 12,29.53,0.0,611265
V6,D7,108.87797537250091,D7 - C56 - D7,1,12,5.97,0.0,123575
V7,D12,125.80709451758482,D12 - C33 - C64 - C19 - C60 - C36 - C88 - C8 - C70 - C68 - C79 - D12,10,12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12 - 12,44.84,0.0,928252
V9,D3,95.69205311197382,D3 - C31 - C5 - C77 - C6 - C66 - C2 - C47 - D3,7,11 - 12 - 12 - 12 - 12 - 12 - 12,37.89,0.0,784313
V10,D9,98.20742218749092,D9 - C9 - C29 - C74 - C67 - C41 - C4 - D9,6,12 - 12 - 12 - 12 - 12 - 12,37.0,0.0,765819
V11,D7,124.14045636329384,D7 - C43 - C55 - C21 - C82 - C20 - C69 - C50 - C57 - C10 - C34 - D7,10,12 - 12 - 12 - 12 - 12 - 12 - 12 - 9 - 12 - 12,77.41,0.0,1602482
V12,D12,97.29654153000814,D12 - C18 - C22 - D12,2,12 - 12,7.52,0.0,155608
V13,D4,85.5478516891165,D4 - C7 - C63 - C72 - C90 - C14 - C12 - C81 - D4,7,12 - 12 - 12 - 12 - 12 - 12 - 12,31.61,0.0,654333
V15,D9,84.46773715355894,D9 - C61 - C71 - C49 - D9,3,12 - 12 - 12,12.5,0.0,258779
V18,D5,29.112724560515943,D5 - C3 - C16 - D5,2,12 - 12,5.3,0.0,109807
V19,D6,26.044317975023777,D6 - C30 - C85 - D6,2,12 - 12,7.66,0.0,158471
V21,D7,28.692332899977053,D7 - C39 - D7,1,12,6.31,0.0,130658
V25,D7,26.71809144784231,D7 - C59 - D7,1,12,7.54,0.0,156076
V26,D10,26.620419846973974,D10 - C86 - D10,1,12,12.36,0.0,255761
V28,D5,30.154997612479757,D5 - C45 - C48 - D5,2,12 - 12,4.28,0.0,88561
V29,D1,20.803912383886807,D1 - C58 - D1,1,12,6.32,0.0,130754
