config_id,mean_obj,std_obj,min_obj,max_obj,mean_time,mean_vehicles,mean_distance,mean_memory_increase,mean_best_iter_memory,mean_load_balance_cv,mean_load_balance_std,mean_load_balance_range,population_size,generations,mutation_rate,tournament_k
1,2176666.41,168900.83057703057,2079151.4700000002,2371696.29,0.217150608698527,1.0,105.15296666666666,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.05,3
2,2155522.0500000003,132277.7247635032,2079151.4700000002,2308263.21,0.30556289354960126,1.0,104.1315,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.05,5
3,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,0.3941648801167806,1.0,103.32533333333333,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.05,7
4,2165038.5300000003,85738.75181901296,2079151.4700000002,2250628.2,0.2126633326212565,1.0,104.59123333333332,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.1,3
5,2206148.73,111615.21617923,2079151.4700000002,2288666.5199999996,0.30533385276794434,1.0,106.57723333333333,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.1,5
6,2136310.3800000004,99002.13622525676,2079151.4700000002,2250628.2,0.4037310282389323,1.0,103.20339999999999,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.1,7
7,2079151.47,0.0,2079151.4700000002,2079151.4700000002,0.21306475003560385,1.0,100.4421,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.15,3
8,2193469.2900000005,99002.13622525669,2079151.4700000002,2250628.2,0.3066266377766927,1.0,105.9647,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.15,5
9,2136310.3800000004,99002.13622525676,2079151.4700000002,2250628.2,0.39629697799682617,1.0,103.20339999999999,0.0,0.0401734375,0.0,0.0,0.0,50,100,0.15,7
10,2176666.41,168900.83057703057,2079151.4700000002,2371696.29,0.4185903072357178,1.0,105.15296666666666,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.05,3
11,2155522.0500000003,132277.7247635032,2079151.4700000002,2308263.21,0.6014708677927653,1.0,104.1315,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.05,5
12,2138834.4000000004,103373.86710457673,2079151.4700000002,2258200.2600000002,0.7805462678273519,1.0,103.32533333333333,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.05,7
13,2165038.5300000003,85738.75181901296,2079151.4700000002,2250628.2,0.4195191065470378,1.0,104.59123333333332,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.1,3
14,2206148.73,111615.21617923,2079151.4700000002,2288666.5199999996,0.6022601922353109,1.0,106.57723333333333,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.1,5
15,2136310.3800000004,99002.13622525676,2079151.4700000002,2250628.2,0.7854483922322592,1.0,103.20339999999999,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.1,7
16,2079151.47,0.0,2079151.4700000002,2079151.4700000002,0.42940425872802734,1.0,100.4421,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.15,3
17,2193469.2900000005,99002.13622525669,2079151.4700000002,2250628.2,0.6055543422698975,1.0,105.9647,0.0,0.0401734375,0.0,0.0,0.0,50,200,0.15,5
