config_id,run,seed,cpu_time,objective_value,final_cost,penalty,num_vehicles,total_distance,converged_at,population_size,generations,mutation_rate,tournament_k
1,1,42,5.199209451675415,25333361.73,25333361.73,0,11,1223.8339,100,50,100,0.05,3
1,2,123,4.471399545669556,25934175.089999996,25934175.089999996,0,11,1252.8587,100,50,100,0.05,3
1,3,7890,4.264472961425781,25842157.380000003,25842157.380000003,0,11,1248.4134,100,50,100,0.05,3
2,1,42,8.826109886169434,26157542.580000002,26157542.580000002,0,11,1263.6494,100,50,100,0.05,5
2,2,123,7.224118232727051,24418498.32,24418498.32,0,11,1179.6376,100,50,100,0.05,5
2,3,7890,7.496478319168091,24567670.799999997,24567670.799999997,0,11,1186.844,100,50,100,0.05,5
3,1,42,10.694743156433105,25421421.6,25421421.6,0,11,1228.088,100,50,100,0.05,7
3,2,123,12.41482424736023,25249069.26,25249069.26,0,11,1219.7618,100,50,100,0.05,7
3,3,7890,7.447772264480591,26284628.160000004,26284628.160000004,0,11,1269.7888,100,50,100,0.05,7
4,1,42,3.9867565631866455,23275709.28,23275709.28,0,11,1124.4304,100,50,100,0.1,3
4,2,123,3.391373634338379,23715246.870000005,23715246.870000005,0,11,1145.6641,100,50,100,0.1,3
4,3,7890,4.0851240158081055,24326548.920000006,24326548.920000006,0,11,1175.1956,100,50,100,0.1,3
5,1,42,5.594275951385498,23647849.740000002,23647849.740000002,0,11,1142.4082,100,50,100,0.1,5
5,2,123,5.094504117965698,23683637.97,23683637.97,0,11,1144.1371,100,50,100,0.1,5
5,3,7890,5.614462375640869,24030443.7,24030443.7,0,11,1160.891,100,50,100,0.1,5
6,1,42,8.679185628890991,24641499.419999994,24641499.419999994,0,11,1190.4106,100,50,100,0.1,7
6,2,123,7.008956432342529,26558642.340000004,26558642.340000004,0,12,1283.0262,100,50,100,0.1,7
6,3,7890,7.486546277999878,24064164.0,24064164.0,0,11,1162.52,100,50,100,0.1,7
7,1,42,3.349485397338867,22396607.19,22396607.19,0,10,1081.9617,100,50,100,0.15,3
7,2,123,3.2713546752929688,25730275.95,25730275.95,0,11,1243.0085,100,50,100,0.15,3
7,3,7890,4.29372763633728,25693767.36,25693767.36,0,11,1241.2448,100,50,100,0.15,3
8,1,42,8.864115476608276,23596486.830000006,23596486.830000006,0,11,1139.9269,100,50,100,0.15,5
8,2,123,11.357958793640137,22646447.910000004,22646447.910000004,0,11,1094.0313,100,50,100,0.15,5
8,3,7890,14.018006563186646,21888012.33,21888012.33,0,11,1057.3919,100,50,100,0.15,5
9,1,42,13.106444120407104,23025825.090000004,23025825.090000004,0,11,1112.3587,100,50,100,0.15,7
9,2,123,10.230665922164917,23945902.830000002,23945902.830000002,0,11,1156.8069,100,50,100,0.15,7
9,3,7890,8.746964454650879,23607619.29,23607619.29,0,11,1140.4647,100,50,100,0.15,7
10,1,42,8.630143880844116,23034794.4,23034794.4,0,11,1112.792,200,50,200,0.05,3
10,2,123,9.586217641830444,25037705.7,25037705.7,0,11,1209.551,200,50,200,0.05,3
10,3,7890,8.08862590789795,24780328.110000003,24780328.110000003,0,11,1197.1173000000001,200,50,200,0.05,3
11,1,42,12.028197765350342,24275566.889999997,24275566.889999997,0,11,1172.7327,200,50,200,0.05,5
11,2,123,11.937068939208984,23360703.480000004,23360703.480000004,0,11,1128.5364,200,50,200,0.05,5
11,3,7890,11.04918622970581,22937570.64,22937570.64,0,11,1108.0952,200,50,200,0.05,5
12,1,42,18.008505821228027,23824818.180000003,23824818.180000003,0,11,1150.9574,200,50,200,0.05,7
12,2,123,45.292027711868286,23273790.39,23273790.39,0,11,1124.3377,200,50,200,0.05,7
12,3,7890,27.537575006484985,24781491.450000003,24781491.450000003,0,11,1197.1735,200,50,200,0.05,7
13,1,42,10.215590476989746,21922610.310000002,21922610.310000002,0,11,1059.0633,200,50,200,0.1,3
13,2,123,8.014207601547241,21728910.060000002,21728910.060000002,0,11,1049.7058,200,50,200,0.1,3
13,3,7890,7.3996031284332275,22445953.92,22445953.92,0,11,1084.3455999999999,200,50,200,0.1,3
14,1,42,14.178139925003052,21797255.25,21797255.25,0,11,1053.0075,200,50,200,0.1,5
14,2,123,11.736719846725464,21895979.76,21895979.76,0,11,1057.7768,200,50,200,0.1,5
14,3,7890,12.717492580413818,22371537.42,22371537.42,0,11,1080.7506,200,50,200,0.1,5
15,1,42,21.571848392486572,23009691.509999998,23009691.509999998,0,11,1111.5792999999999,200,50,200,0.1,7
15,2,123,15.806172132492065,25858744.290000003,25858744.290000003,0,12,1249.2147,200,50,200,0.1,7
15,3,7890,19.062188148498535,22975416.45,22975416.45,0,11,1109.9235,200,50,200,0.1,7
16,1,42,8.221644639968872,21028624.919999998,21028624.919999998,0,10,1015.8756,200,50,200,0.15,3
16,2,123,7.9264538288116455,23121436.320000004,23121436.320000004,0,11,1116.9776,200,50,200,0.15,3
16,3,7890,7.633995771408081,24356479.049999993,24356479.049999993,0,11,1176.6415,200,50,200,0.15,3
17,1,42,11.049843311309814,21739204.169999998,21739204.169999998,0,11,1050.2031,200,50,200,0.15,5
17,2,123,10.112423419952393,21792200.310000002,21792200.310000002,0,11,1052.7633,200,50,200,0.15,5
17,3,7890,10.17355489730835,21316207.950000003,21316207.950000003,0,11,1029.7685000000001,200,50,200,0.15,5
18,1,42,16.27380394935608,21631593.15,21631593.15,0,11,1045.0045,200,50,200,0.15,7
18,2,123,16.390496253967285,22928682.06,22928682.06,0,11,1107.6658,200,50,200,0.15,7
18,3,7890,14.663666486740112,22071517.830000002,22071517.830000002,0,11,1066.2569,200,50,200,0.15,7
19,1,42,8.200870037078857,24810806.790000003,24810806.790000003,0,11,1198.5897,100,100,100,0.05,3
19,2,123,6.823631286621094,24341096.879999995,24341096.879999995,0,11,1175.8984,100,100,100,0.05,3
19,3,7890,7.520663738250732,23379637.769999996,23379637.769999996,0,11,1129.4511,100,100,100,0.05,3
20,1,42,12.06916332244873,24310044.810000002,24310044.810000002,0,11,1174.3983,100,100,100,0.05,5
20,2,123,10.811089754104614,23546384.549999997,23546384.549999997,0,11,1137.5065,100,100,100,0.05,5
20,3,7890,10.571510791778564,23460421.59,23460421.59,0,11,1133.3537000000001,100,100,100,0.05,5
21,1,42,14.90897512435913,23466747.51,23466747.51,0,11,1133.6593,100,100,100,0.05,7
21,2,123,14.925838947296143,23425763.58,23425763.58,0,11,1131.6794,100,100,100,0.05,7
21,3,7890,14.198839664459229,22209027.93,22209027.93,0,11,1072.8999,100,100,100,0.05,7
22,1,42,8.400456428527832,24150776.939999998,24150776.939999998,0,11,1166.7042,100,100,100,0.1,3
