RouteID,VehicleID,StopSequence,NodeID,Demand_Served_On_Route,Cumulative_Dist_On_Route
Route_1,Vehicle_1,1,D1,104.0,0.0
Route_1,Vehicle_1,2,C13,8.0,22.41
Route_1,Vehicle_1,3,C26,12.0,28.37
Route_1,Vehicle_1,4,C38,12.0,32.73
Route_1,Vehicle_1,5,C48,12.0,40.2
Route_1,Vehicle_1,6,C17,12.0,45.44
Route_1,Vehicle_1,7,C11,12.0,52.9
Route_1,Vehicle_1,8,C82,12.0,69.87
Route_1,Vehicle_1,9,C74,12.0,76.65
Route_1,Vehicle_1,10,C1,12.0,91.47
Route_1,Vehicle_1,11,D1,0,105.74
Route_2,Vehicle_2,1,D1,132.0,0.0
Route_2,Vehicle_2,2,C5,12.0,22.21
Route_2,Vehicle_2,3,C66,12.0,33.49
Route_2,Vehicle_2,4,C14,12.0,45.17
Route_2,Vehicle_2,5,C70,12.0,61.32
Route_2,Vehicle_2,6,C25,12.0,66.83
Route_2,Vehicle_2,7,C89,12.0,72.95
Route_2,Vehicle_2,8,C41,12.0,89.04
Route_2,Vehicle_2,9,C47,12.0,96.6
Route_2,Vehicle_2,10,C2,12.0,98.68
Route_2,Vehicle_2,11,C58,12.0,105.8
Route_2,Vehicle_2,12,C7,12.0,111.08
Route_2,Vehicle_2,13,D1,0,132.66
Route_3,Vehicle_3,1,D1,108.0,0.0
Route_3,Vehicle_3,2,C65,12.0,30.32
Route_3,Vehicle_3,3,C51,12.0,36.31
Route_3,Vehicle_3,4,C8,12.0,46.43
Route_3,Vehicle_3,5,C36,12.0,52.6
Route_3,Vehicle_3,6,C45,12.0,58.33
Route_3,Vehicle_3,7,C56,12.0,61.44
Route_3,Vehicle_3,8,C4,12.0,81.65
Route_3,Vehicle_3,9,C67,12.0,87.51
Route_3,Vehicle_3,10,C29,12.0,93.9
Route_3,Vehicle_3,11,D1,0,108.62
Route_4,Vehicle_4,1,D1,144.0,0.0
Route_4,Vehicle_4,2,C86,12.0,38.2
Route_4,Vehicle_4,3,C79,12.0,48.68
Route_4,Vehicle_4,4,C22,12.0,50.5
Route_4,Vehicle_4,5,C59,12.0,55.16
Route_4,Vehicle_4,6,C72,12.0,67.92
Route_4,Vehicle_4,7,C73,12.0,79.58
Route_4,Vehicle_4,8,C30,12.0,87.88
Route_4,Vehicle_4,9,C85,12.0,89.3
Route_4,Vehicle_4,10,C37,12.0,96.96
Route_4,Vehicle_4,11,C68,12.0,102.51
Route_4,Vehicle_4,12,C18,12.0,107.39
Route_4,Vehicle_4,13,C21,12.0,125.55
Route_4,Vehicle_4,14,D1,0,140.16
Route_5,Vehicle_5,1,D1,101.0,0.0
Route_5,Vehicle_5,2,C19,12.0,26.49
Route_5,Vehicle_5,3,C64,12.0,27.45
Route_5,Vehicle_5,4,C42,12.0,30.24
Route_5,Vehicle_5,5,C33,12.0,32.39
Route_5,Vehicle_5,6,C53,12.0,50.96
Route_5,Vehicle_5,7,C83,12.0,51.46
Route_5,Vehicle_5,8,C52,12.0,53.95
Route_5,Vehicle_5,9,C80,5.0,57.12
Route_5,Vehicle_5,10,C69,12.0,72.62
Route_5,Vehicle_5,11,D1,0,92.32
Route_6,Vehicle_6,1,D1,108.0,0.0
Route_6,Vehicle_6,2,C61,12.0,16.09
Route_6,Vehicle_6,3,C9,12.0,20.75
Route_6,Vehicle_6,4,C76,12.0,42.35
Route_6,Vehicle_6,5,C46,12.0,46.07
Route_6,Vehicle_6,6,C60,12.0,48.02
Route_6,Vehicle_6,7,C20,12.0,69.76
Route_6,Vehicle_6,8,C40,12.0,75.27
Route_6,Vehicle_6,9,C78,12.0,77.74
Route_6,Vehicle_6,10,C44,12.0,80.84
Route_6,Vehicle_6,11,D1,0,98.62
Route_7,Vehicle_7,1,D1,59.0,0.0
Route_7,Vehicle_7,2,C24,12.0,23.22
Route_7,Vehicle_7,3,C63,12.0,34.73
Route_7,Vehicle_7,4,C77,12.0,53.92
Route_7,Vehicle_7,5,C31,11.0,56.8
Route_7,Vehicle_7,6,C6,12.0,62.61
Route_7,Vehicle_7,7,D1,0,92.65
Route_8,Vehicle_8,1,D1,72.0,0.0
Route_8,Vehicle_8,2,C62,12.0,15.49
Route_8,Vehicle_8,3,C32,12.0,20.06
Route_8,Vehicle_8,4,C3,12.0,28.65
Route_8,Vehicle_8,5,C16,12.0,30.23
Route_8,Vehicle_8,6,C88,12.0,38.46
Route_8,Vehicle_8,7,C15,12.0,47.87
Route_8,Vehicle_8,8,D1,0,75.56
Route_9,Vehicle_9,1,D1,96.0,0.0
Route_9,Vehicle_9,2,C90,12.0,19.25
Route_9,Vehicle_9,3,C12,12.0,23.22
Route_9,Vehicle_9,4,C84,12.0,29.77
Route_9,Vehicle_9,5,C34,12.0,33.71
Route_9,Vehicle_9,6,C27,12.0,38.98
Route_9,Vehicle_9,7,C54,12.0,39.18
Route_9,Vehicle_9,8,C10,12.0,53.0
Route_9,Vehicle_9,9,C71,12.0,66.45
Route_9,Vehicle_9,10,D1,0,79.25
Route_10,Vehicle_10,1,D1,94.0,0.0
Route_10,Vehicle_10,2,C75,12.0,22.96
Route_10,Vehicle_10,3,C87,10.0,29.84
Route_10,Vehicle_10,4,C55,12.0,33.57
Route_10,Vehicle_10,5,C28,12.0,36.41
Route_10,Vehicle_10,6,C50,12.0,47.43
Route_10,Vehicle_10,7,C43,12.0,49.05
Route_10,Vehicle_10,8,C81,12.0,58.3
Route_10,Vehicle_10,9,C49,12.0,72.08
Route_10,Vehicle_10,10,D1,0,86.5
Route_11,Vehicle_11,1,D1,45.0,0.0
Route_11,Vehicle_11,2,C57,9.0,21.09
Route_11,Vehicle_11,3,C39,12.0,26.21
Route_11,Vehicle_11,4,C23,12.0,31.51
Route_11,Vehicle_11,5,C35,12.0,36.9
Route_11,Vehicle_11,6,D1,0,62.52
