RouteID,VehicleID,StopSequence,NodeID,Demand_Served_On_Route,Cumulative_Dist_On_Route
Route_1,Vehicle_1,1,D1,123.0,0.0
Route_1,Vehicle_1,2,C9,20.0,27.84
Route_1,Vehicle_1,3,C11,17.0,34.18
Route_1,Vehicle_1,4,C24,11.0,42.53
Route_1,Vehicle_1,5,C17,25.0,49.34
Route_1,Vehicle_1,6,C13,21.0,57.09
Route_1,Vehicle_1,7,C6,17.0,63.56
Route_1,Vehicle_1,8,C3,12.0,75.1
Route_1,Vehicle_1,9,D1,0,88.75
Route_2,Vehicle_2,1,D1,140.0,0.0
Route_2,Vehicle_2,2,C5,20.0,22.58
Route_2,Vehicle_2,3,C8,20.0,24.21
Route_2,Vehicle_2,4,C18,12.0,32.08
Route_2,Vehicle_2,5,C15,17.0,42.05
Route_2,Vehicle_2,6,C4,15.0,42.78
Route_2,Vehicle_2,7,C1,13.0,43.82
Route_2,Vehicle_2,8,C10,15.0,50.93
Route_2,Vehicle_2,9,C16,10.0,55.0
Route_2,Vehicle_2,10,C22,18.0,65.58
Route_2,Vehicle_2,11,D1,0,92.87
Route_3,Vehicle_3,1,D1,114.0,0.0
Route_3,Vehicle_3,2,C23,15.0,11.36
Route_3,Vehicle_3,3,C14,15.0,12.41
Route_3,Vehicle_3,4,C20,15.0,15.75
Route_3,Vehicle_3,5,C12,12.0,19.19
Route_3,Vehicle_3,6,C21,14.0,29.44
Route_3,Vehicle_3,7,C7,17.0,36.9
Route_3,Vehicle_3,8,C19,11.0,41.15
Route_3,Vehicle_3,9,C2,15.0,46.32
Route_3,Vehicle_3,10,D1,0,64.54
